BE,AF
없음,없음
학생,학생
회사원,회사원
주부,주부
사무직,사무직
자영업,자영업
판매직,판매직
연구원,연구원
교사,교사
간호사,간호사
거절,없음
학원강사,학원강사
사무원,사무직
공무원,공무원
서비스업,서비스업
농업,농업
생산직,생산직
동일,없음
사회복지사,사회복지사
판매업,판매직
서비스직,서비스직
은행원,은행원
대학생,학생
용접공,용접공
전업주부,주부
항해사,항해사
군인,군인
영업직,영업직
무직,없음
선장,선장
판매원,판매직
유치원교사,교사
강사,강사
직업군인,군인
학생(없다),학생
보험설계사,보험설계사
농사,농업
교수,교수
디자이너,디자이너
미용사,미용사
경리사무원,경리사무원
무응답,없음
건설업,건설업
제조업,제조업
의류판매원,판매직
전임강사,교사
대학시간강사,시간강사
시간강사,시간강사
개인사업,개인사업
택시기사,택시기사
영업,영업직
목수,목수
대학원생,대학원생
의사,의사
프로그래머,프로그래머
일용직,일용직
영업사원,영업직
경리,경리사무원
건설일용직,일용직
배관공,배관공
간호조무사,간호조무사
대학조교,대학조교
기자,기자
단순노무직,단순노무직
대학교수,교수
건설 일용직,일용직
회계사무원,회계사무원
보육교사,보육교사
택배기사,택배기사
변호사,변호사
총무사무원,총무사무원
유치원 교사,교사
사무,사무직
엔지니어,엔지니어
개발자,개발자
일반사무직,사무직
미장공,미장공
금형원,금형원
대학강사,대학강사
물리치료사,물리치료사
택시운전사,택시기사
조리사,조리사
바리스타,바리스타
영양사,영양사
유통업,유통업
재단사,재단사
토목기사,토목기사
직장인,회사원
기능직,기능직
가정주부,주부
웹디자이너,웹디자이너
택시운전,택시기사
기관사,기관사
경리 사무원,경리사무원
운동선수,운동선수
동일함,없음
요리사,요리사
배달원,배달원
자동차 영업사원,자동차 영업사원
건축기사,건축기사
호텔리어,호텔리어
운전기사,운전기사
초등교사,교사
피부관리사,피부관리사
운수업,운수업
일반간호사,간호사
마케터,마케터
주방보조,주방보조
식당운영,자영업
아나운서,아나운서
자동차정비원,자동차정비원
선반공,선반공
선박조립원,선박조립원
철근공,철근공
행정사무원,사무직
